DrawDate,B1,B2,B3,B4,B5,LS1,LS2
05-Jan-21,12,34,37,38,42,1,3
08-Jan-21,18,23,37,41,42,4,6
12-Jan-21,2,10,18,34,35,6,9
15-Jan-21,4,10,27,38,40,3,11
19-Jan-21,25,27,31,35,43,5,6
22-Jan-21,8,16,42,44,47,6,7
26-Jan-21,5,7,25,37,40,2,8
29-Jan-21,1,5,27,36,42,1,6
02-Feb-21,18,20,35,38,48,9,12
05-Feb-21,12,19,37,44,45,2,6
09-Feb-21,5,10,24,31,37,9,10
12-Feb-21,7,23,30,32,36,8,12
16-Feb-21,5,9,25,29,30,6,7
19-Feb-21,4,12,25,46,48,7,12
23-Feb-21,9,18,30,39,45,1,3
26-Feb-21,6,12,22,29,33,6,11
02-Mar-21,2,19,24,26,49,6,7
05-Mar-21,4,5,39,46,48,7,10
09-Mar-21,1,16,21,32,33,11,12
12-Mar-21,4,6,9,11,44,10,11
16-Mar-21,23,25,32,35,47,2,6
19-Mar-21,3,9,35,43,44,1,10
23-Mar-21,2,26,29,36,49,3,9
26-Mar-21,10,12,37,49,50,3,8
30-Mar-21,24,27,28,29,42,4,8
02-Apr-21,4,21,34,40,47,2,5
06-Apr-21,2,21,37,38,50,7,8
09-Apr-21,2,8,32,35,44,8,11
13-Apr-21,16,20,31,47,50,2,8
16-Apr-21,6,11,29,40,48,5,9
20-Apr-21,5,17,28,41,46,10,11
23-Apr-21,3,14,15,19,29,2,8
27-Apr-21,13,14,24,35,49,1,10
30-Apr-21,1,16,24,28,46,2,11
04-May-21,3,10,13,28,46,4,11
07-May-21,14,22,33,38,47,8,9
11-May-21,14,25,34,43,46,5,6
14-May-21,6,16,18,29,38,6,11
18-May-21,5,13,38,39,40,4,12
21-May-21,2,9,13,15,35,3,10
25-May-21,1,21,26,30,38,2,8
28-May-21,11,13,16,34,40,1,12
01-Jun-21,3,10,26,35,44,6,7
04-Jun-21,7,20,36,40,46,2,4
08-Jun-21,2,11,26,36,47,7,9
11-Jun-21,9,17,21,33,39,7,11
15-Jun-21,11,21,26,30,31,2,3
18-Jun-21,11,20,27,30,41,3,5
22-Jun-21,6,24,26,27,41,3,8
25-Jun-21,1,29,30,33,36,3,12
29-Jun-21,6,12,20,24,48,5,6
02-Jul-21,9,14,29,38,49,7,10
