DrawDate,B1,B2,B3,B4,B5,LB
07-Jan-21,36,39,26,35,16,7
11-Jan-21,20,44,4,34,32,9
14-Jan-21,9,25,2,8,43,4
18-Jan-21,13,35,22,46,34,6
21-Jan-21,35,28,27,24,40,8
25-Jan-21,45,6,17,36,47,7
28-Jan-21,13,5,35,34,20,10
01-Feb-21,20,23,42,30,31,10
04-Feb-21,7,5,39,4,26,6
08-Feb-21,30,10,14,17,4,2
11-Feb-21,42,37,29,41,27,7
15-Feb-21,44,25,22,32,23,3
18-Feb-21,7,19,28,38,39,5
22-Feb-21,7,42,20,16,4,9
25-Feb-21,23,12,19,2,16,4
01-Mar-21,35,37,14,9,19,6
04-Mar-21,4,18,8,28,44,8
08-Mar-21,28,32,16,45,2,10
11-Mar-21,20,3,21,11,26,8
15-Mar-21,44,39,29,9,11,6
18-Mar-21,47,43,44,25,5,8
22-Mar-21,8,35,19,34,29,9
25-Mar-21,28,30,38,10,13,1
29-Mar-21,17,43,42,39,28,8
01-Apr-21,32,31,35,12,26,6
05-Apr-21,28,29,34,30,13,2
08-Apr-21,32,24,21,42,19,6
12-Apr-21,26,32,38,6,44,7
15-Apr-21,24,26,2,17,46,7
19-Apr-21,1,10,11,16,46,6
22-Apr-21,42,30,36,41,14,6
26-Apr-21,8,13,12,25,21,5
29-Apr-21,40,13,14,23,21,6
03-May-21,22,12,1,32,8,10
06-May-21,40,2,7,46,25,4
10-May-21,26,47,21,18,13,4
13-May-21,40,30,47,42,12,9
17-May-21,10,17,41,39,23,4
20-May-21,5,4,18,27,19,4
24-May-21,20,8,18,29,40,6
27-May-21,36,11,1,7,32,7
31-May-21,20,15,19,43,36,4
03-Jun-21,40,45,26,8,39,8
07-Jun-21,27,17,8,19,43,4
10-Jun-21,37,22,36,1,18,9
14-Jun-21,6,36,20,13,19,9
17-Jun-21,20,29,7,28,27,2
21-Jun-21,20,13,29,5,37,5
24-Jun-21,26,41,1,31,32,5
28-Jun-21,34,1,15,9,22,1
01-Jul-21,33,39,20,10,7,3
