DrawDate,B1,B2,B3,B4,B5,TB
05-Jan-21,3,11,12,31,34,12
06-Jan-21,27,13,31,6,22,1
08-Jan-21,25,30,13,24,6,4
09-Jan-21,26,29,6,35,8,13
12-Jan-21,19,38,34,28,27,8
13-Jan-21,32,28,6,22,37,7
15-Jan-21,29,14,22,19,31,7
16-Jan-21,35,31,25,8,28,6
19-Jan-21,24,22,36,27,19,2
20-Jan-21,3,24,35,18,25,11
22-Jan-21,18,8,21,38,10,8
23-Jan-21,26,16,4,29,39,11
26-Jan-21,25,17,4,27,11,6
27-Jan-21,7,10,21,15,33,2
29-Jan-21,28,13,18,38,22,13
30-Jan-21,23,14,33,6,11,11
02-Feb-21,6,5,11,28,20,7
03-Feb-21,34,11,13,20,5,12
05-Feb-21,19,11,18,29,23,9
06-Feb-21,6,32,16,14,31,7
09-Feb-21,34,21,8,14,7,5
10-Feb-21,13,34,37,25,31,9
12-Feb-21,14,5,33,29,32,8
13-Feb-21,39,13,5,29,21,3
16-Feb-21,29,13,6,14,37,3
17-Feb-21,25,26,30,27,16,11
19-Feb-21,36,11,23,10,5,3
20-Feb-21,33,27,15,36,7,6
23-Feb-21,22,8,24,37,25,14
24-Feb-21,33,31,15,1,26,1
26-Feb-21,23,15,8,11,32,6
27-Feb-21,31,7,19,5,15,2
02-Mar-21,29,18,14,35,39,5
03-Mar-21,4,32,22,12,24,8
05-Mar-21,36,11,24,26,39,11
06-Mar-21,2,23,13,32,27,6
09-Mar-21,25,39,24,31,14,12
10-Mar-21,10,28,30,12,15,10
12-Mar-21,36,19,6,38,30,6
13-Mar-21,6,24,35,27,31,2
16-Mar-21,28,2,20,22,21,1
17-Mar-21,28,15,21,13,18,9
19-Mar-21,21,31,14,26,30,9
20-Mar-21,13,20,33,29,2,11
23-Mar-21,13,30,19,24,11,1
24-Mar-21,13,32,1,34,27,13
26-Mar-21,6,39,21,38,33,1
27-Mar-21,35,36,25,14,15,6
30-Mar-21,20,39,26,18,7,6
31-Mar-21,23,26,20,18,4,6
02-Apr-21,1,22,14,38,8,14
03-Apr-21,11,33,28,19,23,14
06-Apr-21,6,33,9,27,35,9
07-Apr-21,37,29,18,8,3,7
09-Apr-21,26,12,19,30,32,4
10-Apr-21,19,5,37,7,27,10
13-Apr-21,10,25,37,20,7,10
14-Apr-21,21,35,26,2,39,11
16-Apr-21,2,35,1,20,30,11
17-Apr-21,13,39,14,23,18,13
20-Apr-21,11,4,7,22,17,2
21-Apr-21,34,32,31,21,29,7
23-Apr-21,34,28,16,4,38,3
24-Apr-21,3,28,26,30,24,8
27-Apr-21,22,5,34,13,33,5
28-Apr-21,9,7,10,26,16,7
30-Apr-21,18,34,19,3,15,14
01-May-21,9,32,22,31,37,1
04-May-21,29,32,11,1,23,14
05-May-21,24,16,27,9,34,13
07-May-21,5,17,3,2,6,2
08-May-21,38,2,24,36,13,8
11-May-21,3,22,19,31,4,3
12-May-21,37,4,11,22,38,7
14-May-21,38,36,4,18,22,5
15-May-21,2,3,15,22,28,9
18-May-21,27,16,11,31,8,6
19-May-21,22,9,29,18,13,6
21-May-21,33,8,14,31,12,14
22-May-21,18,5,10,20,36,9
25-May-21,24,9,38,23,25,4
26-May-21,15,30,26,11,28,13
28-May-21,8,34,10,3,23,13
29-May-21,32,1,27,13,29,3
01-Jun-21,38,34,37,28,3,1
02-Jun-21,29,14,38,12,5,6
04-Jun-21,33,17,8,23,6,3
05-Jun-21,32,29,36,37,19,13
08-Jun-21,10,18,9,37,14,9
09-Jun-21,34,4,11,7,28,10
11-Jun-21,14,25,19,17,29,12
12-Jun-21,12,38,16,24,34,1
15-Jun-21,3,10,26,37,27,12
16-Jun-21,29,11,15,33,17,14
18-Jun-21,23,35,3,12,21,7
19-Jun-21,34,6,7,23,18,9
22-Jun-21,26,6,36,37,18,4
23-Jun-21,38,17,28,22,27,1
25-Jun-21,33,39,7,11,21,1
26-Jun-21,29,37,6,33,24,9
29-Jun-21,17,6,20,18,4,10
30-Jun-21,18,38,28,8,1,10
02-Jul-21,9,2,10,23,36,9
03-Jul-21,22,3,39,8,27,12
